"CTRIBUCODI","CTRIBUSIGL","CTPMERCODI","ETPMERDESC","CATIVICODI","EATIVIDESC","CTBATVVALO","CTBATVSITU"
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999035,DATILOGRAFO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999087,DEPILADORA,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999084,DOCEIRA,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999036,ELETRICISTA,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999088,ENCADERNADOR,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999008,ENGRAXATE,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999037,ENTALHADOR,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999072,ENTELADOR DE MAPAS,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999076,ENTREGADOR,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999039,ESTUCADOR,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999009,ESTUFADOR,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999018,LIMPADOR DE IMOVEIS  FAXINEIRO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999010,FEIRANTE,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999011,FERRADOR,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999012,FERREIRO,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999040,FOTOGRAFO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999107,FRENTISTA,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999013,FUNILEIRO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999115,GARCON,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999041,GARCON  E COZINHEIRO,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999074,GRAFICO,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999077,GRAVADOR CALIGRAFO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999110,GUARDA DE SEGURANCA,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999109,GUARDADOR DE VEICULOS,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999014,GUARDADOR DE VOLUMES,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999015,HIGIENIZACAO E DESINFECCAO DE IMOVEIS,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999059,INSTRUTOR DE ANIMAIS,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999042,INSTRUTOR DE AUTOESCOLA,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999043,JARDINEIRO,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999044,JOQUEI,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999102,JORNALEIRO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999079,LAMINADOR,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999075,LANTERNEIRO,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999016,LATOEIRO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999071,LAVADEIRA,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999017,LAVADOR E LUBRIFICADOR DE VEICULOS,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999019,LUSTRADOR,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999045,MANEQUIM,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999046,MANICURE,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999108,MANOBRISTA,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999111,MAQUILADOR,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999047,MARCENEIRO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998124,MARMORISTA,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999048,MASSAGISTA,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999049,MECANICO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999093,MONTADOR EM GERAL,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999050,MOTORISTA DE TAXI,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999101,MOTORISTA DE TAXI AUXILIAR,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999100,MOTORISTA DE TAXI PERMISSIONARIO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999062,OUTROS AGENTES INTERMEDIARIOS,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999078,PADEIRO,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999073,PASSADEIRA,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999092,PASTELEIRO,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999063,PASTILHEIROAZULEJISTALADRILHEIRO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999051,PEDICURE,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999052,PEDREIRO,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999053,PELETEIRO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999085,PESCADOR,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999054,PINTOR,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999055,PINTOR DE OBJETIVOS ARTISTICOS,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999086,PIPOQUEIRO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999112,PORTEIRO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999082,RELIGIOSO SEM REMUNERACAO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999064,RELOJOEIRO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999056,SAPATEIRO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999065,SELEIRO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999113,SERRADOR DE MADEIRA,114.76,A
1,ISS AUT,1,AUTONOMO NIVEL UNIVERSITARIO,9999066,SERRALHEIRO,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999080,SERVENTE,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999067,SOLDADOR,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999081,TALHADOR,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999068,TAPECEIRO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998125,TATUADOR,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999057,TAXIDERMISTA,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999114,TECELAO,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,998122,ESOTERICO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9997069,ENGENHEIRO E TECNOLOGO EM MECATRONICA,511.60,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999058,TINTUREIRO INDIVIDUAL,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999069,TORNEIRO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999070,VIDRACEIRO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999060,VIGILANTE,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999090,ZELADOR,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998069,ACUPUNTURISTA,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998067,ADERECISTA,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998008,ADMINISTRADOR DE BENS OU NEGOCIOS NIVEL MEDIO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998043,AFINADOR DE PIANO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998093,AGENTE COMUNITARIO DE SAUDE,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998036,AGENTE DE EMPREGO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998001,AGENTE DE INVESTIMENTO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998009,AGENTE DE PROPRIEDADE ARTISTICA OU LITERARIA,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998002,AGENTE DE PROPRIEDADE INDUSTRIAL,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998101,AGENTE DE VIAGEM,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998010,AGRIMENSOR,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998011,ALFAIATE,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998097,ALMOXARIFE,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998012,ARBITRO DESPORTIVO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998003,ARMADOR DE ESTRUTURAS,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998058,ARQUEADOR FISCAL DE CARGA DE NAVIOS,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998004,ARTISTA EM GERAL,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998045,ASSESSOR TECNICO DE OPERACOES,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998102,ATOR,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998103,AUXILIAR DE ESCRITORIO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998095,AUXILIAR DE LABORATORIO ANALISES CLINICAS,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998091,AUXILIAR DE SERVICOS GERAIS,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998030,AVALIADOR NIVEL MEDIO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998104,BAILARINO,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998013,CALCULISTA,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998105,CARTOGRAFO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998107,CENOGRAFO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998092,CINEASTA,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998014,CINEGRAFISTA,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998083,CONFERENTE,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998062,CONGELEIRA,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998046,CONSULTOR TECNICO NIVEL MEDIO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998108,CONTACTOLOGO,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998106,COREOGRAFO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998048,CORRETOR,511.60,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998075,CORRETOR DE IMOVEIS,511.60,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998088,CROMOTERAPEUTA,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998015,DECORADOR,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998016,DESENHISTA TECNICO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998017,DESPACHANTE,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998051,DETETIVE,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998071,DIGITADOR,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998089,DRAGADOR,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998084,EMPRESARIO ARTISTICOPROMOTOR DE EVENTOS,511.60,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998109,ESCRITOR,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998098,ESPECIALISTA EM BANHO E TOSA DE ANIMAIS,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998019,ESTENOGRAFO,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998066,ESTETICISTA,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998082,ESTILISTA,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998110,ESTOQUISTA,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998113,FERRAMENTEIRO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998054,FIGURINISTA,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998111,FORNEIRO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998072,FUNDIDOR,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998112,GALVANIZADOR,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998021,GUIA DE TURISMO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998050,INSTRUMENTADOR CIRURGICO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998090,INSTRUTOR DE TREINAMENTOS,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998022,LEILOEIRO,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998057,MAITRE,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998005,MAQUINISTA,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998006,MECANOGRAFO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998042,MESTRE DE OBRA,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998023,MODELO,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998024,MODISTA,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998077,MONITOR DE RECREACAO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998025,MUSICO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998087,OPERADOR DE APARELHO DE SOM,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998007,OPERADOR DE APARELHOS CINEMATOGRAFICOS,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998115,OPERADOR DE MAQUINA COPIADORA,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998060,OPERADOR DE MAQUINAS INDUSTRIAIS,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998094,OPERADOR DE TELEMENSAGEM,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998065,OPERADOR DE TERMINAL,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998114,OPTICO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998026,ORTOPTISTA,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998027,OURIVES,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998047,OUTROS,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998053,PASTOR SEMINARISTA,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998052,PESQUISADOR NIVEL MEDIO,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998059,PILOTO DE AERONAVE,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998117,PIROTECNICO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998041,PROFESSOR NIVEL MEDIO,511.60,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998037,PROGRAMADOR NIVEL MEDIO,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998063,PROGRAMADOR VISUAL,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998029,PROJETISTA,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998116,PROMOTOR DE VENDAS,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998038,PROPAGANDISTA DE PRODUTOS DE LABORATORIO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998028,PROTETICO NIVEL MEDIO,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998031,PUBLICITARIO NIVEL MEDIO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998056,RADIALISTA,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998081,RECEPCIONISTA,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998032,REPRESENTANTE COMERCIAL,511.60,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998118,RESTAURADOR DE PINTURAS,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998033,SECRETARIO NIVEL MEDIO,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998079,SERIGRAFIA,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998055,SONDADOR,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998076,SUPERVISOR,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998099,TECNICO ADMINISTRATIVO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998061,TECNICO AGRICOLA,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998040,TECNICO APAR DENTARIOSRAIO X,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998018,TECNICO DE ENFERMAGEM,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998085,TECNICO DE SEGURANCA DO TRABALHO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998120,TECNICO DE TELECOMUNICACOES,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998119,TECNICO EM COMPUTACAO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998020,TECNICO EM CONTABILIDADE,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998044,TECNICO EM EDIFICACOES,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998074,TECNICO EM ELETRONICA,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998086,TECNICO EM EXTINTOR,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998100,TECNICO EM MECANICA,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998096,TECNICO EM PERFUSAO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998073,TECNICO EM SANEAMENTO,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998068,TECNICO EM TELEFONIA,153.43,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998064,TECNICO INDUSTRIAL,153.44,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9998121,TECNICO QUIMICO,153.43,A
